"genus","species","genspec","genomesize","plethodontids","lifehistory","Notes","bp","of","cyt-b","range","of","cyt-b","Data","Source","cyt-b","Cyt-b","specimen","#","bp","of","16S","range","of","16s","Data","source","16S","16S","Specimen","#","Notes","Notes","2/2011",,,,,,,,,,,,,,,,,,
"Ambystoma","mexicanum","A_mexicanum",26,"nonp","M","(but","does","P)","whole","whole","NC_005797","whole","whole","NC_005797",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ambystoma","texanum","A_texanum",25,"nonp","M","whole","whole","GU078471","whole","whole","GU078471",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ambystoma","tigrinum","A_tigrinum",31,"nonp","M","(but","some","are","P)","whole","whole","NC_006887","whole","whole","NC_006887","huge","range","of","sizes","likely","reflect","real","variation","in","species","complex.","Also","facultative","metamorphosis","and","geographic","variation","in","metamorphosis.",,,,,,,,,,,,,,,,,
"Rhyacotriton","olympicus","R_olympicus",67,"nonp","M",779,"26-805","AY764254","Haplotype","H59",760,"~28","N's","to","link","558-1368","X86319","&","X86285","16s-cytb chimaera.  Hay et al. lists 3 RH #s for 16s data; unclear which were used for which fragment, so unclear whether chimaera within 16s or not.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Paramesotriton","hongkongensis","P_hongkongensis",51,"nonp","M","whole","whole","NC_006407","whole","whole","NC_006407",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Triturus","carnifex","T_carnifex",27,"nonp","M","(although","rare","P","pops)","whole","whole","NC_015788","whole","whole","NC_015788",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Triturus","cristatus","T_cristatus",24,"nonp","M","whole","whole","NC_015790","whole","whole","NC_015790",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Triturus","dobrogicus","T_dobrogicus",27,"nonp","M","whole","whole","NC_015791","whole","whole","NC_015791",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Triturus","karelinii","T_karelinii",30,"nonp","M","whole","whole","NC_015792","whole","whole","NC_015792",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Triturus","marmoratus","T_marmoratus",24,"nonp","M","whole","whole","NC_015795","whole","whole","NC_015795",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Triturus","pygmaeus","T_pygmaeus",27,"nonp","M","whole","whole","NC_015796","whole","whole","NC_015796",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amphiuma","means","A_means",79,"nonp","P","whole","whole","GQ368656","whole","whole","GQ368656",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dicamptodon","ensatus","D_ensatus",57,"nonp","M","(although","P","exist","in","many","pops)","whole","whole","AY734604","MVZ",192593,1393,"1-1393","DQ283118","RAN",31288,"16s-cytb","chimaera",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Necturus","maculosus","N_maculosus",85,"nonp","P",782,"22-804","AY691724",1394,"1-1394","DQ283412","AMCC",105652,"16s-cytb","chimaera",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pseudobranchus","striatus","P_striatus",47,"nonp","P",785,"19-804","AY713120","haplotype",1,1394,"1-1394","DQ283183","AMCC125629","16s-cytb","chimaera",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Siren","intermedia","S_intermedia",55,"nonp","P","whole","whole","GQ368661","whole","whole","GQ368661",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Siren","lacertina","S_lacertina",56,"nonp","P",821,"19-840","AY713290","haplotype",171,1364,"1-1394","DQ283181","AMCC",125630,"16s-cytb","chimaera",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Proteus","anguinus","P_anguinus",49,"nonp","P","whole","whole","GQ368659","whole","whole","GQ368659",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
